Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
08200832|202012|08200832|11.578|32,808|gültig
08200833|202012|08200833|8.698|44,2|gültig
08300934|202012|08300934|12.534|51,102|gültig
08300935|202012|08300935|7.303|40,831|gültig
08301036|202012|08301036|7.190|45,046|gültig
08301037|202012|08301037|10.564|48,814|gültig
08401138|202012|08401138|2.834|48,821|gültig
08401139|202012|08401139|4.103|23,46|gültig
08401140|202012|08401140|2.661|21,875|gültig
08401241|202012|08401241|8.264|15,929|gültig
08401242|202012|08401242|6.844|15,636|gültig
08401243|202012|08401243|9.997|26,203|gültig
08401244|202012|08401244|7.118|11,1|gültig
08401245|202012|08401245|3.776|20,748|gültig
08401246|202012|08401246|7.951|25,616|gültig
09100101|202012|09100101|13.167|16,455|gültig
09100202|202012|09100202|4.375|8,38|gültig
09100203|202012|09100203|6.924|30,629|gültig
09100304|202012|09100304|11.722|17,32|gültig
09100305|202012|09100305|4.074|16,258|gültig
09100306|202012|09100306|3.098|22,485|gültig
09100407|202012|09100407|8.480|17,989|gültig
09100408|202012|09100408|8.105|19,097|gültig
09100409|202012|09100409|3.375|10,463|gültig
09200510|202012|09200510|7.535|42,419|gültig
09200511|202012|09200511|12.663|32,155|gültig
09200512|202012|09200512|3.440|30,688|gültig
09200613|202012|09200613|9.424|29,657|gültig
09200614|202012|09200614|3.580|23,113|gültig
09200715|202012|09200715|3.059|14,894|gültig
09200716|202012|09200716|7.669|23,901|gültig
09200717|202012|09200717|9.482|23,829|gültig
09200818|202012|09200818|3.061|15,493|gültig
09200819|202012|09200819|8.292|37,428|gültig
09300920|202012|09300920|11.751|13,037|gültig
09300921|202012|09300921|2.697|4,709|gültig
09300922|202012|09300922|5.660|54,303|gültig
09300923|202012|09300923|8.169|29,757|gültig
09301024|202012|09301024|2.417|3,403|gültig
09301025|202012|09301025|10.760|12,491|gültig
09301126|202012|09301126|7.217|9,465|gültig
09301227|202012|09301227|1.871|1,984|gültig
09301228|202012|09301228|2.571|7,521|gültig
09401329|202012|09401329|10.138|9,661|gültig
09401330|202012|09401330|1.911|3,147|gültig
09401431|202012|09401431|5.445|17,774|gültig
09401432|202012|09401432|1.569|16,917|gültig
09401433|202012|09401433|4.368|26,991|gültig
09401534|202012|09401534|7.337|29,677|gültig
09401635|202012|09401635|6.867|3,834|gültig
09501736|202012|09501736|4.575|10,363|gültig
09501737|202012|09501737|14.434|6,831|gültig
09501838|202012|09501838|9.856|7,964|gültig
09501939|202012|09501939|6.377|11,586|gültig
09501940|202012|09501940|2.678|20,109|gültig
09501941|202012|09501941|2.678|8,55|gültig
09502042|202012|09502042|4.106|6,004|gültig
09502043|202012|09502043|9.188|9,062|gültig
10100101|202012|10100101|5.709|38,778|gültig
10100102|202012|10100102|3.317|49,457|gültig
10100103|202012|10100103|7.685|36,859|gültig
10100104|202012|10100104|7.611|39,47|gültig
10100205|202012|10100205|1.262|-9.999|ungültig (Ausreißer)
10100206|202012|10100206|10.586|39,955|gültig
10100207|202012|10100207|8.198|39,474|gültig
10100208|202012|10100208|9.163|45,507|gültig
10100209|202012|10100209|8.153|30,483|gültig
10100210|202012|10100210|10.782|32,78|gültig
10100311|202012|10100311|2.228|9,241|gültig
10100312|202012|10100312|14.860|25,013|gültig
10100313|202012|10100313|4.793|21,731|gültig
10100314|202012|10100314|6.309|24,203|gültig
10100315|202012|10100315|7.171|31,809|gültig
10100316|202012|10100316|3.681|14,212|gültig
10200417|202012|10200417|7.171|43,451|gültig
10200418|202012|10200418|5.445|30,808|gültig
10200419|202012|10200419|3.564|34,072|gültig
10200420|202012|10200420|7.159|48,571|gültig
10200421|202012|10200421|1.716|28,986|gültig
10200422|202012|10200422|6.503|53,66|gültig
10200423|202012|10200423|5.929|42,704|gültig
10200524|202012|10200524|9.975|31,89|gültig
10200525|202012|10200525|5.317|43,373|gültig
10200526|202012|10200526|6.111|46,763|gültig
10200627|202012|10200627|3.465|29,231|gültig
10200628|202012|10200628|6.342|43,448|gültig
10200629|202012|10200629|8.919|24,681|gültig
10200630|202012|10200630|6.487|25,823|gültig
10300731|202012|10300731|7.805|2,117|gültig
10300732|202012|10300732|6.952|21,103|gültig
10300733|202012|10300733|3.938|6,667|gültig
10300734|202012|10300734|10.260|2,712|gültig
10400835|202012|10400835|7.807|9,057|gültig
10400836|202012|10400836|3.868|5,78|gültig
10400837|202012|10400837|7.733|2,71|gültig
10400938|202012|10400938|9.921|1,789|gültig
10400939|202012|10400939|4.457|4,829|gültig
10400940|202012|10400940|5.801|4,743|gültig
10400941|202012|10400941|9.578|2,885|gültig
11100101|202012|11100101|3.302|3,641|gültig
11100102|202012|11100102|2.189|30,87|gültig
11100203|202012|11100203|8.986|44,626|gültig
11100204|202012|11100204|7.052|35,732|gültig
11100205|202012|11100205|6.095|43,817|gültig
11100206|202012|11100206|7.609|44,548|gültig
11100307|202012|11100307|11.690|40,391|gültig
11100308|202012|11100308|9.583|47,876|gültig
11100309|202012|11100309|5.825|25,829|gültig
11200410|202012|11200410|9.998|31,467|gültig
